City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
417,Chirongui,YT,75.13,broken clouds,-12.93,45.15,La Villa Mahatsara
420,Loucovice,CZ,66.97,heavy intensity rain,48.62,14.26,Rezidence Club Canada
421,Zhangjiakou,CN,61.88,clear sky,40.81,114.88,Shell Zhangjiakou City Qiaodong District Ginza Hotel
423,Nanticoke,US,76.26,clear sky,41.21,-76.0,Keisha's
424,Eskil,TR,66.51,clear sky,38.4,33.41,Eskil Öğretmen Evi
426,Unisan,PH,81.25,overcast clouds,13.84,121.98,Wilson yolip
427,Kencong,ID,74.19,broken clouds,-8.28,113.37,GUBUK SUGIANTO
428,Harper,LR,77.7,overcast clouds,4.38,-7.72,Screensaver
429,Bay Roberts,CA,65.05,scattered clouds,47.6,-53.26,Stonewall Inn
430,Banda Aceh,ID,79.29,overcast clouds,5.56,95.32,OYO 884 Rumoh PMI Hotel
431,Saint-Francois,FR,71.04,broken clouds,46.42,3.91,Parking
433,Chodavaram,IN,80.44,overcast clouds,17.83,82.95,Forest Guest House Devgiri
437,Marshfield,US,68.45,few clouds,44.67,-90.17,"Holiday Inn Conference Ctr Marshfield, an IHG Hotel"
440,Luanda,AO,77.0,clear sky,-8.84,13.23,EPIC SANA Luanda
441,Tello,CO,81.01,overcast clouds,3.07,-75.14,El portal
443,Kainan,JP,78.84,overcast clouds,34.15,135.2,Wakayama Marina City Hotel
445,Jijiga,ET,66.96,heavy intensity rain,9.35,42.8,RAMAAS HOTEL
449,Hongjiang,CN,73.81,broken clouds,27.11,110.0,洪江大酒店
450,Kloulklubed,PW,81.1,overcast clouds,7.04,134.26,Storyboard Beach Resort
451,Gorele,TR,63.72,broken clouds,41.03,39.0,Görele Öğretmenevi
452,Makakilo City,US,78.62,clear sky,21.35,-158.09,Marriott's Ko Olina Beach Club
454,Bairiki,KI,80.6,scattered clouds,1.33,172.98,Tarawa Boutique Hotel
455,Kupang,ID,75.81,broken clouds,-10.17,123.58,Sylvia Hotel Premier Kupang
456,Palmer,US,76.37,broken clouds,42.16,-72.33,Wedgewood Motel
458,Torres,BR,67.82,scattered clouds,-29.34,-49.73,Farol Hotel
461,Bolgatanga,GH,80.42,scattered clouds,10.79,-0.85,Mama's Place
463,El Sauzal,MX,69.42,scattered clouds,31.9,-116.68,Hotel Las Rosas & Spa
464,Itarema,BR,84.56,few clouds,-2.92,-39.92,"Sea Lounge! Bar, Club & Restaurant"
470,Kindu,CD,72.77,light rain,-2.95,25.95,Résidence Okanda
476,Ramnagar,IN,74.48,overcast clouds,29.4,79.12,Leisure Vacation Myrica Hotel
477,Kalmunai,LK,79.63,scattered clouds,7.42,81.82,VS Villa
480,Yulara,AU,61.97,clear sky,-25.24,130.99,Desert Gardens Hotel - Ayers Rock Resort
482,Quepos,CR,83.12,broken clouds,9.42,-84.17,Jungle Beach Hotel at Manuel Antonio
484,Adeje,ES,82.09,broken clouds,28.12,-16.73,Gran Tacande Wellness & Relax
486,Ormara,PK,80.71,clear sky,25.21,64.64,Kenara Colony House for Rent
487,Enshi,CN,67.77,broken clouds,30.3,109.48,Moevenpick Enshi
488,Morondava,MG,73.38,scattered clouds,-20.28,44.28,La Case Bambou
491,Gonen,TR,69.76,clear sky,40.1,27.65,Gönen Palmiye Butik Pansiyon
492,Verona,IT,79.39,scattered clouds,45.42,11.03,Hotel Verona
495,Palaikastron,GR,74.3,clear sky,35.2,26.25,Marina Village
496,Hadrut,AZ,69.19,clear sky,39.52,47.03,Zəfər otel
497,Porto Novo,BJ,80.42,scattered clouds,6.5,2.6,Tour Eiffel Hotel Benin
499,Cam Ranh,VN,80.56,few clouds,11.92,109.16,OYO 598 Peony Hotel
500,Muncar,ID,74.7,broken clouds,-8.43,114.33,Zaky Homestay
501,Hambantota,LK,78.4,overcast clouds,6.12,81.12,Bungalow 63
502,Mayumba,GA,75.0,broken clouds,-3.43,10.66,LIKWALE LODGE
503,Elbistan,TR,67.14,clear sky,38.21,37.2,Sword Hotel
505,Sterling,US,79.14,few clouds,39.01,-77.43,Hampton Inn & Suites Washington-Dulles International Airport
508,Kamariotissa,GR,74.08,clear sky,40.48,25.47,Niki Beach
510,Loudi,CN,70.93,clear sky,27.73,111.99,Till Bright Hotel
511,Rochelle,FR,73.49,clear sky,46.25,-1.0,Le Clos des Palmiers
512,Iglesias,IT,83.93,overcast clouds,39.31,8.54,"B&B Mare Monti Miniere - Sardinia Sud-Ovest, Sulcis iglesiente, trekking, climbing Masua, Nebida, Miniere, Porto Flavia, Grotta Sardegna, Pan di Zucchero, Cammino Minerario Santa Barbara, Caserma “Trieste”,"
516,Balabac,PH,82.26,overcast clouds,7.99,117.06,Sing and Swing Lodge
518,Saint Andrews,US,83.14,few clouds,34.05,-81.13,Baymont by Wyndham Columbia Northwest
519,Naze,JP,81.52,scattered clouds,28.37,129.48,Shishime Hotel
521,Robertsport,LR,78.1,light rain,6.75,-11.37,Kwepunha Retreat
524,Vila Franca Do Campo,PT,81.19,few clouds,37.72,-25.43,Pestana Bahia Praia
527,Qianan,CN,60.84,overcast clouds,44.99,124.06,Qian'an Hotel
531,Basoko,CD,72.63,overcast clouds,1.24,23.62,Jackyna Hotel
534,Skibbereen,IE,65.1,broken clouds,51.55,-9.27,The West Cork Hotel
537,Pandan,PH,80.8,clear sky,14.05,124.17,Bonifacio Lodge
538,Ajdabiya,LY,78.51,clear sky,30.76,20.23,محل افطومه اللملابس نساء وأطفال
539,Stelle,DE,62.51,overcast clouds,53.38,10.11,Marrakesch Lounge Whirlpool Suite
540,Kinsale,IE,62.24,scattered clouds,51.71,-8.53,Actons Hotel Kinsale
541,Marsa Matruh,EG,80.8,clear sky,31.35,27.25,Beau Site
545,Meridian,US,73.17,clear sky,43.61,-116.39,Courtyard by Marriott Boise West/Meridian
546,Kieta,PG,76.93,light rain,-6.22,155.63,Uruna Bay Retreat
547,Los Llanos De Aridane,ES,74.95,broken clouds,28.66,-17.92,Valle Aridane
548,Miraflores,MX,69.98,broken clouds,19.22,-98.81,Hotel Mansión
551,Tomohon,ID,67.14,moderate rain,1.33,124.84,Gardenia Country Inn
552,Dwarka,IN,82.42,moderate rain,22.24,68.97,Hotel Narayan Avezika Comfort
553,Moses Lake,US,66.88,smoke,47.13,-119.28,Ramada by Wyndham Moses Lake
556,Yangjiang,CN,79.59,clear sky,21.85,111.97,HUALUXE Yangjiang City Center
562,Sal Rei,CV,84.4,broken clouds,16.18,-22.92,Marine Club Beach Resort
563,Tucuman,AR,77.0,clear sky,-26.82,-65.22,Dallas Hotel Tucuman
564,Kushima,JP,78.19,broken clouds,31.46,131.23,Hanaoka
567,Branca,PT,70.21,overcast clouds,40.77,-8.48,HOTEL RURAL VALE DO RIO
568,Huaicheng,CN,74.1,clear sky,23.91,112.19,Tengye Hotel
570,Ishinomaki,JP,66.45,overcast clouds,38.42,141.3,Hotel Route Inn Ishinomaki Kanan Inter
574,Pfullendorf,DE,66.65,overcast clouds,47.92,9.25,Flair Hotel Adler
577,Tianpeng,CN,64.87,overcast clouds,30.99,103.94,Shuangliu Love Home Business Hotel
578,Chabahar,IR,82.67,clear sky,25.29,60.64,هتل گدروشیا
580,Shieli,KZ,66.07,clear sky,44.17,66.75,Gostinitsa Aybek Shieli
582,Srikakulam,IN,81.19,overcast clouds,18.3,83.9,Micro Systems
584,Lakatoro,VU,77.95,scattered clouds,-16.1,167.42,Lakatoro Palm Lodge
585,Mahajanga,MG,77.02,scattered clouds,-15.72,46.32,Hôtel Restaurant Gourmand Coco Lodge Majunga
587,Nhulunbuy,AU,77.61,clear sky,-12.23,136.77,East Arnhem Real Estate
588,Truckee,US,67.73,smoke,39.33,-120.18,Truckee Donner Lodge
589,Palu,ID,74.28,overcast clouds,-0.89,119.87,Hotel Santika Palu
590,Erenhot,CN,72.05,broken clouds,43.65,111.98,Erenhot Rurouni Youth Hostel
591,Las Juntas,MX,78.33,broken clouds,19.42,-104.7,La casa de la Riata
594,Canala,NC,66.67,scattered clouds,-21.53,165.95,Table d’hôte chez Betty
596,Wajima,JP,71.58,overcast clouds,37.4,136.9,Wajiima Onsen Yashio
597,Huicheng,CN,77.02,clear sky,23.04,116.29,Huilai Hotel
598,Izberbash,RU,64.45,scattered clouds,42.57,47.86,Ramina
599,Isiro,CD,67.69,light rain,2.77,27.62,Guest House Hewa Bora
601,Pathein,MM,75.87,overcast clouds,16.78,94.73,Pathein Hotel
603,Lithakia,GR,78.08,clear sky,37.72,20.83,Zante Plaza Hotel & Apartments
607,Hualmay,PE,65.21,broken clouds,-11.1,-77.61,Hotel Restaurant Turístico Casablanca
608,Talara,PE,72.36,clear sky,-4.58,-81.27,Hostal Oro Negro
611,Tomas Oppus,PH,80.76,broken clouds,10.25,124.98,LYK BOARDING HOUSE
613,Burns Lake,CA,63.39,scattered clouds,54.23,-125.75,Burns Lake Bed and Breakfast
616,Alindao,CF,72.18,moderate rain,5.03,21.21,OCHA Alindao
617,Xichang,CN,66.4,overcast clouds,27.9,102.26,Xichang ibis Hotel
618,Qiryat Ono,IL,80.65,clear sky,32.02,34.87,Holiday Villa Ben Gurion Airport
623,Teknaf,BD,79.52,overcast clouds,20.86,92.31,Shilbania para
624,Pemangkat,ID,76.82,overcast clouds,1.17,108.97,Ramah Kost KITA
625,Saint-Ambroise,CA,63.14,overcast clouds,48.55,-71.33,Motel Saint-Ambroise
626,Serik,TR,81.75,clear sky,36.92,31.1,Armas Belek - Ultra All Inclusive
627,Jalu,LY,82.98,clear sky,29.03,21.55,صاحبة الفخامة
629,Zaidpur,IN,78.87,overcast clouds,26.83,81.33,Khan House 🏡
631,Denia,ES,82.74,broken clouds,38.84,0.11,Hotel Port Dénia
632,Pasighat,IN,75.61,scattered clouds,28.07,95.33,Siang Guest House
633,Hojai,IN,75.45,heavy intensity rain,26.0,92.87,Luxury park hotel
634,Rosetta,EG,77.11,clear sky,31.4,30.42,Green Valley
636,Conde,BR,80.06,broken clouds,-7.26,-34.91,Pousada Beija Flor
637,Krabi,TH,77.2,scattered clouds,8.07,98.91,Tharapark View Hotel
639,Forestville,US,79.9,clear sky,38.85,-76.88,Quality Inn Near Joint Base Andrews-Washington Area
640,Gamboma,CG,78.62,light rain,-1.88,15.86,Residence N'Keni
641,North Las Vegas,US,81.79,clear sky,36.2,-115.12,Lucky Club Hotel & Casino
642,Muroto,JP,80.55,broken clouds,33.28,134.15,Oota Ryokan
643,Port-Gentil,GA,78.76,scattered clouds,-0.72,8.78,Fengshui Residence
647,Marovoay,MG,79.57,overcast clouds,-16.1,46.63,Hôtel les Oliviers Marovoay
648,Carira,BR,84.9,few clouds,-10.36,-37.7,Praca dos motorista
649,Tecoanapa,MX,84.74,overcast clouds,16.52,-98.75,Hotel Manglares
650,Samarai,PG,79.18,broken clouds,-10.62,150.67,Nuli Sapi
651,Puerto Madero,MX,82.8,broken clouds,14.72,-92.42,Hotel El Navegante
652,Komatipoort,ZA,65.05,few clouds,-25.43,31.95,Kruger View Backpackers
654,Eureka,US,71.2,overcast clouds,40.8,-124.16,Eureka Inn Trademark By Wyndham
655,Necochea,AR,62.92,clear sky,-38.55,-58.74,dyd -mar Hotel
657,Akhmeta,GE,64.92,scattered clouds,42.03,45.21,Hostel Kakheti
658,Hukuntsi,BW,72.01,clear sky,-24.0,21.75,Its me guest house
660,Pimentel,PE,70.09,clear sky,-6.84,-79.93,Hotel Puerto del Sol
662,Nargana,PA,82.96,overcast clouds,9.44,-78.59,Dubbir
663,Quelimane,MZ,75.15,scattered clouds,-17.88,36.89,Hotel Flamingo
665,Haverfordwest,GB,62.19,scattered clouds,51.8,-4.97,Silverdale Lodge
667,Monrovia,LR,76.77,overcast clouds,6.3,-10.8,Eco Hotel
670,Pringsewu,ID,73.31,overcast clouds,-5.36,104.97,Urban Style by Front One
671,Ribeira Brava,PT,79.0,scattered clouds,32.65,-17.07,Hotel do Campo
