City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
82,Itambacuri,BR,-18.03,-41.69,76.66,67,94,10.47,overcast clouds
83,Willowmore,ZA,-33.29,23.49,61.61,74,100,8.9,overcast clouds
84,Sayhat,SA,26.49,50.04,79.0,42,0,4.16,clear sky
85,Yellowknife,CA,62.46,-114.35,45.12,65,75,11.5,broken clouds
86,Nevsehir,TR,38.92,34.67,56.41,63,0,5.75,clear sky
87,Cherskiy,RU,68.75,161.30,28.78,52,25,5.73,scattered clouds
88,Catuday,PH,16.29,119.81,78.55,82,92,6.08,overcast clouds
89,Skjervoy,NO,70.03,20.97,41.0,71,10,13.2,clear sky
90,Santa Isabel,BR,-23.32,-46.22,60.51,97,100,6.24,overcast clouds
91,East London,ZA,-33.02,27.91,66.27,90,100,17.78,light rain
92,Inirida,CO,3.87,-67.92,83.82,71,100,2.86,overcast clouds
93,Hilo,US,19.73,-155.09,94.28,71,20,10.0,few clouds
94,Cabo San Lucas,MX,22.89,-109.91,93.61,71,1,5.14,clear sky
95,Malanje,AO,-9.54,16.34,65.75,89,44,3.69,scattered clouds
96,Aguada De Pasajeros,CU,22.39,-80.85,80.89,83,100,7.34,moderate rain
97,Cabedelo,BR,-6.98,-34.83,79.47,80,49,12.91,scattered clouds
98,Chokurdakh,RU,70.63,147.92,23.52,83,93,3.83,overcast clouds
99,Camopi,GF,3.17,-52.32,85.3,46,64,7.25,broken clouds
100,Saint-Philippe,RE,-21.36,55.77,69.39,84,54,14.65,light rain
101,Moranbah,AU,-22.00,148.05,65.88,40,0,15.12,clear sky
102,Gat,IL,31.61,34.76,81.39,75,0,3.91,clear sky
103,Sao Filipe,CV,14.90,-24.50,80.26,82,9,12.39,clear sky
104,Eureka,US,40.80,-124.16,79.66,77,1,8.99,clear sky
105,La Ronge,CA,55.10,-105.28,64.65,59,40,13.8,scattered clouds
106,Lebu,CL,-37.62,-73.65,51.91,85,100,13.22,overcast clouds
107,Bengkulu,ID,-3.80,102.27,73.89,90,98,4.29,overcast clouds
108,Kodiak,US,57.79,-152.41,53.11,76,75,11.5,broken clouds
109,Bereznik,RU,62.86,42.71,33.94,97,100,8.34,light snow
110,Namatanai,PG,-3.67,152.43,83.01,64,92,8.19,overcast clouds
111,Kizner,RU,56.27,51.51,40.59,96,100,7.83,overcast clouds
112,Salmas,IR,38.20,44.77,63.36,18,0,4.12,clear sky
113,Kem,RU,64.96,34.58,37.17,90,100,7.49,overcast clouds
114,Puerto Del Rosario,ES,28.50,-13.86,73.15,60,75,19.57,broken clouds
115,Brokopondo,SR,4.75,-55.17,85.8,57,40,7.65,scattered clouds
116,Marti,CU,22.95,-80.92,79.88,79,100,11.36,overcast clouds
117,Labuhan,ID,-6.88,112.21,77.74,81,100,7.78,overcast clouds
118,Dwarka,IN,22.24,68.97,79.88,71,27,6.64,scattered clouds
119,Kamenka,RU,51.32,42.77,54.48,78,96,4.23,overcast clouds
120,Dukat,RU,62.55,155.55,27.55,93,100,4.83,light snow
121,Tasiilaq,GL,65.61,-37.64,35.76,82,99,6.38,overcast clouds
122,San Quintin,MX,30.48,-115.95,76.12,66,5,7.02,clear sky
